S_No,Destination,Room_or_Accommodation_Category,Tariff,Extra_Boarder
1,"Tripura Natural Trails & Resort, Rowa","Premium double room","Rs.3000.00/day","Rs.1000.00/day"
2,,"Deluxe double room","Rs.2500.00/day","-"
4,"Tripura Natural Trails & Resort, Sepahijala","Premium Cottage","Rs.4000.00/day","Rs.1000.00/day"
6,"Tripura Natural Trails & Resort, Tepania","Premium double room","Rs.2500.00/day","Rs.1000.00/day"
7,,"Deluxe double room","Rs.2000.00/day","-"
8,,"Tree house","Rs.3000.00/day","-"
9,"Tripura Natural Trails & Resort, Trishna-Joychandpur","Premium double room","Rs.3000.00/day","-"
10,"Tripura Natural Trails & Resort, Trishna-Rajnagar","Premium double room","Rs.3000.00/day","Rs.1000.00/day"
11,,"Deluxe double room","Rs.2000.00/day","-"
12,"Tripura Natural Trails & Resort, Ambassa Log Hut","Deluxe room","Rs.3000.00/day","Rs.1000.00/day"
